2025-08-01T22:47:21.408Z | User: 7 | Action: Accessed admin platform | Time: 8/1/2025, 3:47:21 PM
2025-08-01T22:47:21.525Z | User: 7 | Action: Accessed admin platform | Time: 8/1/2025, 3:47:21 PM
2025-08-01T22:54:10.249Z | User: 7 | Action: Accessed admin platform | Time: 8/1/2025, 3:53:58 PM
2025-08-01T22:54:10.254Z | User: 7 | Action: Accessed admin platform | Time: 8/1/2025, 3:53:58 PM
2025-08-01T22:54:11.872Z | User: 7 | Action: Accessed admin platform | Time: 8/1/2025, 3:53:58 PM
2025-08-03T23:49:25.794Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:25 PM
2025-08-03T23:49:25.822Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:25 PM
2025-08-03T23:49:29.826Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:29 PM
2025-08-03T23:49:29.863Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:29 PM
2025-08-03T23:49:41.078Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:41 PM
2025-08-03T23:49:41.085Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:41 PM
2025-08-03T23:49:44.067Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:43 PM
2025-08-03T23:49:44.082Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:44 PM
2025-08-03T23:49:47.199Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:47 PM
2025-08-03T23:49:47.223Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 4:49:47 PM
2025-08-04T00:00:47.575Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:00:47 PM
2025-08-04T00:00:47.591Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:00:47 PM
2025-08-04T00:01:02.454Z | User: 7 | Action: Product 2 edited | Time: 8/3/2025, 5:01:02 PM
2025-08-04T00:01:03.205Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:03 PM
2025-08-04T00:01:03.216Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:03 PM
2025-08-04T00:01:06.242Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:06 PM
2025-08-04T00:01:06.278Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:06 PM
2025-08-04T00:01:28.182Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:28 PM
2025-08-04T00:01:28.232Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:28 PM
2025-08-04T00:01:47.986Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:47 PM
2025-08-04T00:01:48.076Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:01:47 PM
2025-08-04T00:02:09.390Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:02:09 PM
2025-08-04T00:02:09.453Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:02:09 PM
2025-08-04T00:02:56.486Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:02:56 PM
2025-08-04T00:02:56.514Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:02:56 PM
2025-08-04T00:03:10.758Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:03:10 PM
2025-08-04T00:03:10.878Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:03:10 PM
2025-08-04T00:05:56.853Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:05:56 PM
2025-08-04T00:05:57.243Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:05:56 PM
2025-08-04T00:06:46.881Z | User: 7 | Action: Product 11 edited | Time: 8/3/2025, 5:06:46 PM
2025-08-04T00:06:47.762Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:06:47 PM
2025-08-04T00:06:47.782Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:06:47 PM
2025-08-04T00:08:17.505Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:08:17 PM
2025-08-04T00:08:17.519Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:08:17 PM
2025-08-04T00:09:34.569Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:09:34 PM
2025-08-04T00:09:34.578Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:09:34 PM
2025-08-04T00:10:39.135Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:10:39 PM
2025-08-04T00:10:39.139Z | User: 7 | Action: Accessed admin platform | Time: 8/3/2025, 5:10:39 PM
